Course Title,Rating,Review,What you will learn
A complexidade sensível: Um paralelo entre videogames e arte,4.7,224,
The Changing Landscape of Ancient Rome. Archaeology and History of the Palatine Hill,4.4,305,
Leer a Macondo: la obra de Gabriel García Márquez,4.9,357,
Photography Capstone Project,4.8,536,
Writing Stories About Ourselves,4.3,88,
Introducción a la producción musical ,4.9,182,
"Interactive, Nonlinear Stories with Twine",4.8,10,Develop an interactive (game alike) story.Engage with computer programming in the context of creative writing.Create a psychedelic experience for the readers of your story.
Effectively delivering the news to your audience,4.8,298,
Composición de canciones,4.7,174,
Free Will and Neuroscience,4.8,10,
The Basics of Libertarian Free Will,4.8,10,
"Neural Basis of Imagination, Free Will, and Morality",4.8,10,
"Journalism, the future, and you!",4.7,354,
Low Poly Art For Video Games,4.2,51,
Guitar Scales and Chord Progressions,4.7,379,"Play scales in a moveable open positionIdentify and play major, minor, diminished, and augmented arpeggiosAdd rhythmic timing to arpeggios and strumming to enhance your playing"
Current Gen 3D Game Prop Production,4.8,33,"Model accurate block-in, mid poly meshesCreate high poly models with a real world level of accuracyCreate game-ready low poly meshes for a real-time environmentTexture and render models to give them the appearance of photo-realism"
"Musicianship: Tensions, Harmonic Function, and Modal Interchange",4.9,393,Describe Chord tensions and their roleDescribe The concept of Harmonic FunctionAurally identify chord progressions and chord qualitiesIdentify Modal Interchange chords in a composition
Developing Your Musicianship: Final Project,4.9,112,"Compose an AABA style song Practice and perform your composition on your instrumentCreate a simple recording of you performing your compositionDevelop your ear by identify intervals, chords, and chord progressions"
Introduction to Research for Essay Writing,4.7,1,
Guitar Chord Voicings: Playing Up The Neck,4.7,53,"Look at a lead sheet and play chord voicingsConstruct triads, 7th chords, and inversionsPlay and know the voicings of various chord qualities such as a major triad, minor triad, dominant 7, and gospel chordsPlay triads over bass notes"
Relativism,4.2,37,
